Timestamp,Station,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
2024-01-20,Anand Vihar,198.91,333.6,77.04,1.33,17.26,301.70190274841434
2024-01-20,Sonia_Vihar,196.15,328.24,46.49,1.61,32.22,298.784355179704
2024-01-20,Mandir Marg,175.37,262.82,85.63,0.74,6.74,276.8181818181818
2024-01-20,Ashok_Vihar,180.23,360.96,56.9,1.29,8.5,281.95560253699784
2024-01-20,Vivek_vihar,212.38,319.35,51.59,1.51,8.72,315.94080338266383
2024-01-20,ITO,198.56,249.62,52.26,1.78,31.33,301.3319238900634
2024-01-20,Patparganj,186.14,298.94,39.37,1.12,3.61,288.2029598308668
2024-01-21,Anand Vihar,212.08,331.76,78.84,1.49,15.32,315.6236786469344
2024-01-21,ITO,155.02,213.72,49.87,1.68,30.01,255.30655391120507
2024-01-21,Sonia_Vihar,166.52,265.99,38.41,1.48,22.58,267.4630021141649
2024-01-21,Mandir Marg,177.62,261.29,88.17,0.88,3.2,279.19661733615226
2024-01-21,Ashok_Vihar,146.04,297.36,43.62,1.2,5.73,245.81395348837208
2024-01-21,Patparganj,200.75,326.44,42.36,1.23,3.23,303.6469344608879
2024-01-21,Vivek_vihar,196.24,302.72,48.94,1.34,5.8,298.87949260042285
2024-01-22,Ashok_Vihar,198.71,402.95,57.51,1.47,7.16,301.4904862579281
2024-01-22,Mandir Marg,191.29,294.74,92.95,0.72,3.45,293.6469344608879
2024-01-22,Sonia_Vihar,228.69,422.45,49.94,1.67,33.51,333.18181818181813
2024-01-22,ITO,89.26,133.62,48.41,1.57,34.6,185.79281183932346
2024-01-22,Anand Vihar,238.8,373.23,61.97,1.22,15.6,343.8689217758985
2024-01-22,Vivek_vihar,258.54,383.75,49.05,1.12,5.45,364.7357293868922
2024-01-22,Patparganj,216.22,349.1,37.86,0.95,3.23,320.0
2024-01-23,Vivek_vihar,256.02,400.45,59.62,1.53,4.93,362.07188160676526
2024-01-23,Mandir Marg,220.26,352.49,101.04,1.38,4.5,324.2706131078224
2024-01-23,Sonia_Vihar,243.3,410.31,51.78,1.65,31.65,348.62579281183935
2024-01-23,Ashok_Vihar,191.72,407.07,53.77,1.48,7.16,303.07
2024-01-23,Anand Vihar,256.98,418.2,79.68,1.26,14.47,363.0866807610994
2024-01-23,ITO,221.71,295.16,32.11,1.73,35.69,325.80338266384774
2024-01-23,Patparganj,240.23,395.07,44.1,1.27,3.91,345.38054968287526
2024-01-24,ITO,178.14,245.93,41.8,1.89,32.51,279.7463002114165
2024-01-24,Mandir Marg,264.04,415.61,98.35,1.37,3.71,370.5496828752643
2024-01-24,Anand Vihar,286.24,467.91,86.38,1.27,14.34,394.01691331923894
2024-01-24,Vivek_vihar,317.01,451.14,57.32,1.71,5.16,426.5433403805497
2024-01-24,Patparganj,269.48,419.72,43.53,1.45,4.38,376.30021141649047
2024-01-24,Ashok_Vihar,202.23,418.56,55.75,1.55,5.65,314.56
2024-01-24,Sonia_Vihar,227.03,361.9,41.26,1.56,23.83,331.4270613107822
2024-01-25,Patparganj,252.29,405.43,50.73,1.67,7.31,358.1289640591966
2024-01-25,ITO,168.36,221.09,69.46,2.22,34.76,269.4080338266385
2024-01-25,Ashok_Vihar,155.62,351.92,59.1,1.68,5.53,255.94080338266383
2024-01-25,Anand Vihar,263.9,456.6,103.03,1.42,14.68,370.40169133192387
2024-01-25,Vivek_vihar,276.29,408.34,64.07,2.02,3.89,383.49894291754754
2024-01-25,Mandir Marg,199.78,310.73,90.77,0.94,4.68,302.6215644820296
2024-01-25,Sonia_Vihar,176.5,288.3,45.27,1.81,20.91,278.0126849894292
2024-01-26,Vivek_vihar,369.55,501.56,64.17,3.11,7.19,482.08245243128965
2024-01-26,Mandir Marg,314.4,420.48,88.98,1.47,6.65,423.784355179704
2024-01-26,Anand Vihar,383.65,580.15,128.73,2.17,16.92,496.9873150105708
2024-01-26,ITO,268.99,333.99,135.02,3.44,37.03,375.7822410147992
2024-01-26,Sonia_Vihar,232.86,376.9,51.33,2.09,46.27,337.58985200845666
2024-01-26,Patparganj,402.68,566.75,55.21,2.56,12.66,517.1035940803383
2024-01-26,Ashok_Vihar,235.27,479.23,75.91,2.6,8.15,375.23
2024-01-27,Mandir Marg,182.25,269.27,87.79,1.28,5.1,284.0909090909091
2024-01-27,Patparganj,202.99,343.68,47.05,1.94,6.52,306.014799154334
2024-01-27,Sonia_Vihar,197.77,355.22,54.37,1.75,11.94,300.4968287526427
2024-01-27,Anand Vihar,201.47,397.72,132.42,1.55,15.12,304.4080338266385
2024-01-27,Ashok_Vihar,144.53,341.5,66.64,1.7,7.48,244.21775898520085
2024-01-27,ITO,149.2,190.71,102.21,2.15,42.84,249.15433403805497
